Timestamp,Twitter ID,Tweet text with emojis 
4/19/2023 13:25:21,1512786950935449602,My heart 💔💔💔💔 My prayers for the dearly departed 🙏🙏 rest in peace 🕊️🕊️🕊️ Stay strong Ukraine ❤️
4/19/2023 13:27:27,1512786775395246085,Heart-breaking to watch 😢
4/20/2023 9:45:54,1612544554142908417,"The Global Partnership for Education (GPE) is the largest global fund solely dedicated to transforming education in lower-income countries, and a unique, multi-stakeholder partnership."
4/20/2023 9:50:42,1312786875395246085,"War is not only a humanitarian tragedy, but also a threat to democracy and human rights."
4/20/2023 9:52:09,1643329230401425410,Authoritarian regimes often use war as an excuse to suppress dissent and consolidate power. War undermines the checks and balances of democratic institutions
4/20/2023 9:55:34,1353020988473020417," War creates a vicious cycle of violence, poverty and instability. Countries that have experienced war are more likely to face conflict again in the future."
4/20/2023 10:00:23,1647268552863277060,"The impact of war on political systems is not limited to the duration of the conflict. War can leave behind a legacy of trauma, corruption and mistrust that can last for generations. "
4/20/2023 10:01:39,1636381692331180034,"War can erode the social fabric of a nation, creating divisions and polarization among different groups. War can also fuel nationalism, extremism and intolerance"
4/20/2023 10:04:34,1353980877546557441,"War can erode the social fabric of a nation, creating divisions and polarization among different groups. War can also fuel nationalism, extremism and intolerance."
4/20/2023 10:12:46,1648055944536903680,"War can have a negative impact on the quality of governance and public services. War can divert resources from education, health and infrastructure to military spending and security. War can also create opportunities for corruption and patronage. 
"
4/20/2023 10:18:18,1633777090569949187,"War can undermine the legitimacy and credibility of political leaders and institutions. War can create a sense of disillusionment and apathy among citizens, who may lose faith in democracy and political participation"
4/20/2023 10:20:58,1646788248554074112,"War can endanger the human rights and freedoms of citizens, especially those who are vulnerable or marginalized. War can lead to violations of civil, political, economic, social and cultural rights. War can also increase the risk of atrocities and crimes against humanity."
4/20/2023 10:22:26,1645590054834778112,"May all the bar passers and new lawyers uphold the rule of law, fight corruption, and defend human rights!"
